Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\values-vi,1,19,16,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\values-w360dp,1,7,4,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\values-w480dp,1,9,6,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\values-w500dp,1,7,4,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\values-w600dp,1,16,12,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\values-w720dp,1,7,4,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\values-xlarge,1,23,17,0,0,6,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\values-zh-rCN,1,19,16,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\values-zh-rHK,1,19,16,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\values-zh-rTW,1,19,16,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\appcompat-v7\20.0.0\res\values-zu,1,19,16,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\support-v4,1,19,15,1,0,4,1,0,1,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\exploded-aar\com.android.support\support-v4\20.0.0,1,19,15,1,0,4,1,0,1,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\incremental,4,8572,8119,7,3,453,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\incremental\mergeAssets,2,27,21,0,0,6,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\incremental\mergeAssets\debug,1,18,15,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\incremental\mergeAssets\test,1,9,6,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\incremental\mergeAssets\test\debug,1,9,6,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\incremental\mergeResources,2,8545,8098,7,3,447,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\incremental\mergeResources\debug,1,8534,8090,7,3,444,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\incremental\mergeResources\test,1,11,8,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\incremental\mergeResources\test\debug,1,11,8,0,0,3,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\manifests,2,52,43,0,0,9,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\manifests\debug,1,35,30,0,0,5,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\manifests\test,1,17,13,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\manifests\test\debug,1,17,13,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res,133,5141,4194,56,3,902,49,45,348,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug,133,5141,4194,56,3,902,49,45,348,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\anim,6,117,97,6,0,20,6,0,6,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\color,1,21,17,1,0,4,1,0,1,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\drawable,17,424,342,17,0,82,17,0,17,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\drawable-hdpi-v4,1,8,7,0,0,1,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\layout,33,1432,1198,22,0,189,22,45,321,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\layout-v11,2,60,48,2,0,12,2,0,2,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\layout-v14,1,29,27,1,0,2,1,0,1,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\menu,3,34,33,0,0,1,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values,1,1314,1091,7,3,223,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-af,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-am,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-ar,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-bg,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-ca,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-cs,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-da,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-de,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-el,1,22,18,0,0,4,0,0,0,0,0
D:\AndroidStudioProjects\SymondsTimetablePlus\app\build\intermediates\res\debug\values-en-rGB,1,22,18,0,0,4,0,0,0,0,0
